+-------+--------+-----------------------------------------------+--------+--------+---------+--------+--------+
| COUNT | METHOD |                      URI                      |  MIN   |  MAX   |   SUM   |  AVG   |  P99   |
+-------+--------+-----------------------------------------------+--------+--------+---------+--------+--------+
| 22    | GET    | /api/player/competition/9fa53321/ranking      | 0.040  | 14.132 | 171.892 | 7.813  | 14.132 |
| 11    | GET    | /api/player/competition/9fa53c12/ranking      | 14.588 | 14.620 | 160.624 | 14.602 | 14.620 |
| 35    | GET    | /api/player/competition/9fa52adc/ranking      | 0.016  | 9.480  | 141.440 | 4.041  | 9.480  |
| 23    | GET    | /api/player/competition/9fa531e0/ranking      | 0.028  | 9.524  | 122.924 | 5.345  | 9.524  |
| 12    | GET    | /api/admin/tenants/billing                    | 0.392  | 20.432 | 117.204 | 9.767  | 20.432 |
| 23    | GET    | /api/player/competition/9fa5377f/ranking      | 0.028  | 8.864  | 104.044 | 4.524  | 8.864  |
| 33    | GET    | /api/player/competition/9fa5278b/ranking      | 0.020  | 13.236 | 101.372 | 3.072  | 13.236 |
| 34    | GET    | /api/player/competition/9fa52d9e/ranking      | 0.028  | 13.464 | 96.856  | 2.849  | 13.464 |
| 19    | GET    | /api/player/competition/9fa53b00/ranking      | 0.020  | 8.892  | 87.244  | 4.592  | 8.892  |
| 25    | GET    | /api/player/competition/9fa52f6e/ranking      | 0.032  | 7.860  | 80.664  | 3.227  | 7.860  |
| 11    | GET    | /api/player/competition/9fa540cb/ranking      | 6.168  | 6.200  | 68.028  | 6.184  | 6.200  |
| 8     | POST   | /api/organizer/players/add                    | 2.568  | 5.992  | 32.700  | 4.087  | 5.992  |
| 4     | GET    | /api/player/player/9fa52914                   | 6.088  | 9.348  | 31.616  | 7.904  | 9.348  |
| 3     | GET    | /api/player/player/4a5030e14                  | 0.240  | 14.544 | 28.612  | 9.537  | 14.544 |
| 3     | GET    | /api/player/player/358b2456b                  | 0.068  | 13.576 | 27.112  | 9.037  | 13.576 |
| 5     | GET    | /api/player/player/9fa52a49                   | 0.084  | 8.748  | 27.096  | 5.419  | 8.748  |
| 29    | GET    | /api/player/competition/9fa52dd3/ranking      | 0.020  | 1.920  | 21.236  | 0.732  | 1.920  |
| 3     | GET    | /api/player/player/9fa52aa4                   | 0.004  | 8.732  | 16.356  | 5.452  | 8.732  |
| 2     | GET    | /api/player/competition/3b59babe6/ranking     | 0.020  | 14.604 | 14.624  | 7.312  | 14.604 |
| 1     | POST   | /api/organizer/competition/9fa53c12/score     | 14.616 | 14.616 | 14.616  | 14.616 | 14.616 |
| 1     | GET    | /api/player/player/5bd8bc435                  | 14.508 | 14.508 | 14.508  | 14.508 | 14.508 |
| 3     | GET    | /api/player/player/9fa531b3                   | 0.064  | 14.100 | 14.376  | 4.792  | 14.100 |
| 1     | GET    | /api/player/player/9fa52d52                   | 14.076 | 14.076 | 14.076  | 14.076 | 14.076 |
| 4     | GET    | /api/player/player/35e824ebc                  | 0.036  | 13.704 | 13.904  | 3.476  | 13.704 |
| 4     | GET    | /api/player/player/9fa52ab9                   | 0.008  | 8.852  | 13.616  | 3.404  | 8.852  |
| 1     | GET    | /api/player/player/4a8fa11ca                  | 13.532 | 13.532 | 13.532  | 13.532 | 13.532 |
